user_id,course_id,course_name,instructor,course_duration_hours,certification_offered,difficulty_level,rating,enrollment_numbers,course_price,feedback_score,study_material_available,time_spent_hours,previous_courses_taken,completion_ratio
15796,9366,Python for Beginners,Emma Harris,39.1,1,0,5.0,21600,317.5,0.797,1,17.6,4,0.4501278772378517
861,1928,Cybersecurity for Professionals,Alexander Young,36.3,1,0,4.3,15379,40.99,0.77,1,28.97,9,0.7980716253443526
38159,9541,DevOps and Continuous Deployment,Dr. Mia Walker,13.4,1,0,3.9,6431,380.81,0.772,1,52.44,4,3.9134328358208954
44733,3708,Project Management Fundamentals,Benjamin Lewis,58.3,1,0,3.1,48245,342.8,0.969,0,22.29,6,0.3823327615780446
11285,3361,Ethical Hacking Masterclass,Daniel White,30.8,1,0,2.8,34556,381.01,0.555,1,22.01,5,0.7146103896103897
6266,8076,Ethical Hacking Masterclass,Dr. John Smith,76.7,1,2,3.6,36249,250.94,0.509,1,5.73,6,0.07470664928292048
16851,7887,Networking and System Administration,Dr. Robert Davis,44.9,1,0,4.9,41050,389.32,0.893,1,15.66,3,0.3487750556792873
37195,2876,Ethical Hacking Masterclass,Liam Adams,98.3,0,0,4.1,33808,131.45,0.635,0,17.25,7,0.17548321464903358
21963,1578,Personal Finance and Wealth Building,Benjamin Lewis,68.5,1,0,4.7,11502,116.43,0.811,1,26.24,4,0.3830656934306569
47192,4298,Blockchain and Decentralized Applications,Benjamin Lewis,45.7,1,1,4.4,25697,110.35,0.527,1,23.45,7,0.5131291028446389
44132,6716,Graphic Design with Canva,Alexander Young,69.0,1,0,4.5,3341,382.03,1.0,1,25.27,4,0.366231884057971
16024,3434,Fitness and Nutrition Coaching,Liam Adams,100.0,1,1,4.2,3532,430.23,0.78,1,28.73,8,0.2873
41091,2425,Public Speaking Mastery,Benjamin Lewis,78.8,0,1,4.1,30597,225.97,0.796,1,11.27,6,0.1430203045685279
1686,6209,Blockchain and Decentralized Applications,Prof. Emily Johnson,92.3,1,1,3.1,39258,117.02,0.881,1,12.53,5,0.13575297941495124
770,534,Photography and Video Editing,Daniel White,74.0,1,2,4.1,40437,388.7,0.62,1,14.13,3,0.19094594594594597
2434,7616,DevOps and Continuous Deployment,Isabella Scott,56.2,1,0,2.7,16572,100.75,0.722,1,34.34,5,0.6110320284697509
5312,3455,Python for Beginners,Charlotte King,11.1,1,0,4.6,43655,426.0,0.966,1,22.8,5,2.0540540540540544
37820,5144,Advanced Machine Learning,Daniel White,83.7,0,1,4.0,30473,252.67,0.668,1,23.46,11,0.2802867383512545
39189,3873,Game Development with Unity,Dr. Robert Davis,82.4,1,1,5.0,36424,442.55,0.636,1,8.89,1,0.10788834951456311
17569,6917,Blockchain and Decentralized Applications,Isabella Scott,81.7,0,2,3.7,21066,49.89,0.619,1,37.5,4,0.45899632802937573
19770,1506,Photography and Video Editing,Dr. John Smith,56.8,1,2,2.5,33298,149.22,0.648,1,22.51,9,0.3963028169014085
28694,9534,Cloud Computing Essentials,Sarah Lee,87.1,0,1,3.7,6067,99.55,0.739,1,33.88,5,0.3889781859931114
6397,1759,Fitness and Nutrition Coaching,Prof. Emily Johnson,88.5,0,0,3.6,44312,178.6,0.598,0,14.45,1,0.16327683615819208
27481,1945,Mobile App Development with Swift,Sarah Lee,56.7,1,1,3.3,13140,100.1,0.794,0,14.08,4,0.24832451499118163
41435,5570,DevOps and Continuous Deployment,Prof. Emily Johnson,93.1,1,2,4.9,9425,344.15,0.679,0,10.02,3,0.10762620837808808
25659,1556,Cybersecurity for Professionals,Charlotte King,43.5,0,1,3.3,30265,337.79,0.967,0,17.0,5,0.39080459770114945
18943,6776,Mobile App Development with Swift,Sophia Anderson,37.4,1,1,3.0,696,492.52,0.758,1,53.08,8,1.4192513368983957
18432,1603,Networking and System Administration,James Clark,52.4,1,0,4.4,46084,299.01,0.709,1,43.23,2,0.825
2748,9914,Mobile App Development with Swift,Ethan Hall,34.6,1,0,4.4,2348,210.72,0.903,1,17.76,7,0.5132947976878613
190,2554,Project Management Fundamentals,Charlotte King,88.0,1,1,4.4,45752,238.58,0.601,1,21.71,4,0.24670454545454545
19119,4521,Data Visualization with Tableau,Sophia Anderson,18.7,0,1,5.0,8045,234.97,0.491,1,30.32,5,1.621390374331551
35774,8768,Advanced Machine Learning,Daniel White,43.7,1,0,4.7,35165,488.68,0.837,0,34.52,6,0.7899313501144165
1900,870,Fitness and Nutrition Coaching,Olivia Taylor,34.6,0,0,4.8,42144,455.89,0.669,0,1.0,3,0.028901734104046242
1268,1326,DevOps and Continuous Deployment,Liam Adams,86.6,0,0,3.8,22524,350.71,0.705,1,2.14,10,0.02471131639722864
31552,6588,Public Speaking Mastery,Benjamin Lewis,31.8,0,1,4.4,8622,23.02,0.82,0,7.28,11,0.2289308176100629
11395,2792,Public Speaking Mastery,Dr. Mia Walker,16.8,1,0,4.5,35263,478.05,0.8,1,30.41,6,1.8101190476190476
